date;number
2021-03-10;-734822
2035-03-24;312291
1936-10-20;906128
1961-03-19;-367196
2018-09-01;366548
1949-09-11;986741
2070-09-12;-857440
2054-06-20;198586
2067-01-05;792207
1949-08-12;-638952
1911-12-31;-751622
2014-08-18;-644141
1974-10-18;913624
1938-11-02;624864
2058-05-13;-561097
1929-11-18;151981
1934-01-28;-935550
1919-09-22;120118
1939-07-15;995192
1969-04-04;-204367
2068-09-24;866000
1963-06-10;277739
1925-01-11;66496
1990-04-02;-171285
1962-08-07;-378132
1919-08-16;-656557
2020-06-06;124145
2068-08-19;45461
2063-01-31;695614
1999-01-03;-831276
1974-01-26;-299195
1905-01-30;-593767
1982-03-24;2203
2068-03-23;636144
1958-07-05;-499604
2023-03-06;963860
1948-10-24;-618471
2032-12-10;-499150
1988-08-26;474107
1992-09-03;895820
2018-08-06;-332258
1985-06-09;-351685
1980-07-23;912117
1917-05-04;600590
1902-05-20;-942585
1952-01-27;499680
1941-11-12;-626296
1900-07-09;-863888
2030-02-24;-570035
1941-06-16;378577
1996-09-11;931844
2064-12-31;-444727
1949-03-17;668395
1988-09-20;-670127
1971-05-04;-534697
1902-11-16;737685
1962-08-16;394104
1994-08-01;776088
1976-06-21;201774
1941-11-09;774421
1978-09-16;-507139
2064-12-03;-564805
1981-01-24;-905598
1989-05-14;834409
1934-04-12;680522
2013-05-09;473399
2015-02-22;-807481
2039-10-17;-806869
1981-07-12;45803
1957-03-10;-365587
1923-12-16;-791548
2011-01-16;-212392
1904-01-03;-185960
1975-04-06;450377
1964-11-02;-10563
2040-11-12;582067
2029-05-16;592969
1965-09-12;796065
1919-05-15;-675175
1986-04-29;17123
1976-04-02;-695351
2039-01-12;-250944
2069-10-27;673662
2025-09-17;-123393
1988-11-13;-552538
1967-03-19;-692099
2006-05-29;-173216
1944-06-01;331716
2028-05-02;-182582
2064-04-30;476689
1993-06-04;410035
1967-04-26;197861
1940-11-10;-339526
1951-05-03;424433
1945-12-31;773113
2003-12-12;-8084
2014-04-09;-19989
1971-09-25;733367
1971-03-12;-930591
2042-01-02;-232009
2005-12-02;-212425
1937-05-27;-487010
1952-09-09;-229952
1994-04-22;-909658
1921-07-30;844736
1922-10-06;454870
1968-02-23;-848135
1921-07-15;-674294
1988-11-06;-798517
2041-12-09;827348
2055-07-07;-751910
1944-01-28;110085
1965-04-20;250653
1919-04-09;220185
1937-09-14;-859362
2053-09-25;-696547
1912-11-03;-461500
2048-01-30;-265954
1971-02-03;320870
2063-02-22;-900142
2034-10-07;-530702
2065-02-11;657062
1998-03-11;351362
2014-11-05;-649997
1910-07-10;922504
1925-09-19;302335
1960-04-18;74030
1931-12-27;-676686
1960-07-27;-429255
1950-01-26;-483077
2014-09-02;-963227
2057-08-21;-533001
1931-06-05;348261
1935-10-18;491181
2029-12-31;90274
1909-12-10;62519
2002-07-27;388658
2062-06-11;-922190
1906-06-25;94574
1923-01-15;-11903
2029-06-05;-709833
1978-10-27;911226
2041-02-15;-658596
2029-10-10;-5875
1947-12-03;854444
2051-05-13;-841620
2053-11-07;-508148
2048-10-25;822922
1903-11-23;205939
1939-04-30;-813358
1901-06-15;753852
1989-03-10;-714560
1981-08-16;586241
1938-03-05;-901341
1921-11-23;156578
1918-08-04;-686497
1962-05-21;-172679
2010-03-26;379103
2029-02-15;-130313
1975-07-28;917790
2013-01-28;-495836
1934-01-23;790360
1948-03-21;415797
1958-09-10;-721818
1962-09-04;943329
2070-01-27;181204
1926-02-28;-30609
1966-11-11;305235
1937-08-13;-472993
1948-10-08;-244606
1902-02-04;-866311
1900-02-02;-196979
